公司全称,网址,简称,行业,地址,市值,注册资本,状态,类型,注册时间,证券类别,市值_亿
顺丰速运有限公司,https://top.chinaz.com/company/ShunFengSuYun.html,顺丰速运,物流/仓储/运输,广东,市值：1.5亿,(人民币)15000.0000万元 ,存续,有限责任公司（法人独资）,2013-07-25,,1.5
北京易车互联信息技术有限公司,https://top.chinaz.com/company/YiChe.html,易车,IT/互联网/通信,北京,市值：78.11亿,9449万元美元 ,开业,有限责任公司(台港澳法人独资),2006-01-20,--,78.11
上海福网信息科技有限公司,https://top.chinaz.com/company/FuWangXinXi.html,福网信息,IT/互联网/通信,上海,市值：200.0万,200万人民币 ,存续（在营、开业、在册）,有限责任公司,2005-10-12,,0.02
海南创新梦想网络科技有限公司,https://top.chinaz.com/company/ChuangXinMengXiang.html,创新梦想,IT/互联网/通信,海南,市值：1000.0万,1000万元 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-06-21,,0.1
北京字节跳动科技有限公司,https://top.chinaz.com/company/ZiJieTiaoDong.html,字节跳动,IT/互联网/通信,北京,市值：518.0亿,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-03-09,,518.0
湖南惠农科技有限公司,https://top.chinaz.com/company/HuiNongKeJi.html,惠农科技,IT/互联网/通信,湖南,市值：1.0亿,10000万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2013-02-04,,1.0
北京值得买科技股份有限公司,https://top.chinaz.com/company/ZhiDeMai.html,值得买,IT/互联网/通信,北京,市值：4000.0万,4000万元人民币 ,存续（在营、开业、在册）,股份有限公司(非上市、自然人投资或控股),2011-11-10,,0.4
合一信息技术(北京)有限公司,https://top.chinaz.com/company/HeYiXinXi.html,合一信息,IT/互联网/通信,北京,市值：371.77亿,6000 万元 ,注销,有限责任公司分公司,2009-05-18,中概股,371.77
华为软件技术有限公司,https://top.chinaz.com/company/HuaWeiRuanJian.html,华为软件,IT/互联网/通信,江苏,市值：5.0亿,50000万元人民币 ,在业,有限责任公司（法人独资）,2005-09-07,,5.0
上海恩度网络科技有限公司,https://top.chinaz.com/company/EnDuWangLuo.html,恩度网络,IT/互联网/通信,上海,市值：1000.0万,1000.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2010-06-10,,0.1
北京中视创想影视传媒广告有限公司,https://top.chinaz.com/company/ZhongShiChuangXiang.html,中视创想,广告/商务服务/文化传媒,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2004-01-08,,0.01
北京和讯在线信息咨询服务有限公司,https://top.chinaz.com/company/HeXunZaiXian.html,和讯在线,IT/互联网/通信,北京,市值：7000.0万,7000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2000-06-28,,0.7
互动峰科技（北京）有限公司,https://top.chinaz.com/company/HuDongFeng.html,互动峰,IT/互联网/通信,北京,市值：1000.0万,1000.00万元 ,开业,有限责任公司(自然人投资或控股),2006-10-10,,0.1
武汉宇酷网络技术有限公司,https://top.chinaz.com/company/WuHanYuKu.html,武汉宇酷,IT/互联网/通信,湖北,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-02-22,,0.01
上海青夏翻译咨询有限公司,https://top.chinaz.com/company/QingXiaFanYi.html,青夏翻译,其它,上海,市值：10.0万,10万人民币 ,存续（在营、开业、在册）,有限责任公司,2007-08-14,,0.001
厦门天象文化传播有限公司,https://top.chinaz.com/company/TianXiangWenHua.html,天象文化,广告/商务服务/文化传媒,福建,市值：1000.0万,1000.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2015-01-30,,0.1
北京阳光飞华科技发展有限公司,https://top.chinaz.com/company/feihuakji.html,飞华科技,医疗健康,北京,市值：2031.69万,2031.694400万人民币 ,开业,有限责任公司(自然人投资或控股),2005-10-18,,0.20316900000000002
广州网律互联网科技有限公司,https://top.chinaz.com/company/wanglvkuaiche.html,网律快车,IT/互联网/通信,广东,市值：100.0万,100.000000万人民币 ,在营（开业）企业,其他有限责任公司,2010-10-21,,0.01
湖南快乐阳光互动娱乐传媒有限公司,https://top.chinaz.com/company/KuaiLeYangGuang.html,快乐阳光,IT/互联网/通信,湖南,市值：106.0亿,24247.0013万人民币 ,存续（在营、开业、在册）,有限责任公司,2006-05-26,,106.0
历峰商业有限公司,https://top.chinaz.com/company/LiFengShangYe.html,历峰商业,机械/制造/军工/贸易,上海,市值：29.83亿,298270万人民币 ,存续（在营、开业、在册）,有限责任公司(台港澳法人独资),2006-01-27,,29.83
谦金在线(北京)电子商务有限公司,https://top.chinaz.com/company/QianJinZaiXian.html,谦金在线,IT/互联网/通信,北京,市值：150.0万,150.00万元人民币 ,开业,有限责任公司(自然人投资或控股),2010-05-11,,0.015
瑞安市我喜欢网络有限公司,https://top.chinaz.com/company/WoXiHuanWangLuo.html,我喜欢网络,IT/互联网/通信,,市值：100.0万,100万元人民币 ,存续,一人有限责任公司（私营法人独资）,2009-03-05,,0.01
北京幻想纵横网络技术有限公司,https://top.chinaz.com/company/HuanXiangZongHeng.html,幻想纵横,IT/互联网/通信,北京,市值：3.31亿,33066.3965万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2008-06-24,,3.31
广州天趣网络科技有限公司,https://top.chinaz.com/company/GuangZhouTianQu.html,广州天趣,IT/互联网/通信,广东,市值：1000.0万,1000万 ,存续,有限责任公司(自然人投资或控股),2011-05-23,,0.1
北京奇虎科技有限公司,https://top.chinaz.com/company/QiHuKeJi.html,奇虎科技,IT/互联网/通信,北京,市值：2000.0亿,50000万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2007-08-13,,2000.0
成都六四三六五科技有限公司,https://top.chinaz.com/company/LiuSiSanLiuWu.html,六四三六五,IT/互联网/通信,四川,市值：500.0万,500.00 万元人民币 ,存续,有限责任公司(自然人投资或控股),2015-03-19,,0.05
苏宁云商集团股份有限公司,https://top.chinaz.com/company/SuNingYunShang.html,苏宁云商,IT/互联网/通信,江苏,市值：1123.72亿,93.1亿元 ,在业,股份有限公司(上市),2001-06-29,A股,1123.72
合肥好玩网络科技有限公司,https://top.chinaz.com/company/HaoWanWangLuo.html,好玩网络,IT/互联网/通信,安徽,市值：1000.0万,1000万元 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2014-02-28,,0.1
广州市科普会计信息有限公司,https://top.chinaz.com/company/KePuHuiJi.html,科普会计,IT/互联网/通信,广东,市值：1000.0万,1000万 ,存续,有限责任公司(自然人投资或控股),2012-06-04,,0.1
石家庄友曼网络科技有限公司,https://top.chinaz.com/company/youmingxingkong.html,游民星空,IT/互联网/通信,河北,市值：1000.0万,1000.000000万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2013-03-11,,0.1
重庆天极网络有限公司,https://top.chinaz.com/company/TianJiWangLuo.html,天极网络,IT/互联网/通信,重庆,市值：2000.0万,2000万元 ,存续,有限责任公司(自然人投资或控股),2000-01-27,,0.2
深圳市搜了网络科技股份有限公司,https://top.chinaz.com/company/SouLiaoWangLuo.html,搜了网络,IT/互联网/通信,广东,市值：7200.0万,800万元 ,存续,非上市股份有限公司,2008-09-09,新三板,0.72
北京亿企商科技有限公司,https://top.chinaz.com/company/YiQiShang.html,亿企商,IT/互联网/通信,北京,市值：100.0万,100万元 ,开业,有限责任公司(自然人投资或控股),2009-09-09,,0.01
人民澳客传媒科技有限公司,https://top.chinaz.com/company/RenMinAoKe.html,人民澳客,IT/互联网/通信,北京,市值：5454.55万,5454.55万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2013-09-26,,0.545455
广州畅悦网络科技有限公司,https://top.chinaz.com/company/GuangZhouChangYue.html,广州畅悦,IT/互联网/通信,广东,市值：1000.0万,1000万 ,存续,有限责任公司(法人独资),2010-08-11,,0.1
