公司全称,网址,简称,行业,地址,市值,注册资本,状态,类型,注册时间,证券类别,市值_亿
北京凌飞天下软件有限公司,https://top.chinaz.com/company/LingFeiTianXia.html,凌飞天下,IT/互联网/通信,北京,市值：50.0万,50万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2011-01-13,,0.005
长沙七丽网络科技有限公司,https://top.chinaz.com/company/ChangShaQiLi.html,长沙七丽,IT/互联网/通信,湖南,市值：1000.0万,1000万人民币 ,存续（在营、开业、在册）,有限责任公司（自然人投资或控股的法人独资）,2014-12-05,,0.1
赣州久易人力资源发展有限公司,https://top.chinaz.com/company/gzjiuyirenli.html,久易人力,其它,江西,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2008-05-22,,0.01
成都邮征天下信息技术有限公司,https://top.chinaz.com/company/YouZhengTianXia.html,邮征天下,广告/商务服务/文化传媒,四川,市值：300.0万,300万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2009-11-09,,0.03
北京全景视觉网络科技股份有限公司,https://top.chinaz.com/company/QuanJingWangLuo.html,全景网络,IT/互联网/通信,北京,市值：3744.0万,7180万元 ,存续（在营、开业、在册）,股份有限公司(非上市、自然人投资或控股),2005-11-08,新三板,0.3744
北京站酷网络科技有限公司,https://top.chinaz.com/company/ZhanKuWangLuo.html,站酷网络,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-04-09,,0.1
珠海市魅族通讯设备有限公司,https://top.chinaz.com/company/ZuoZuTongXun.html,魅族通讯,IT/互联网/通信,广东,市值：300.0亿,20000万 ,存续,有限责任公司(法人独资),2012-12-25,,300.0
北京融世纪信息技术有限公司,https://top.chinaz.com/company/RongShiJi.html,融世纪,IT/互联网/通信,北京,市值：69.0亿,1000万元 ,开业,有限责任公司(自然人投资或控股),2011-11-10,,69.0
北京可可网络科技有限公司,https://top.chinaz.com/company/kekeyinyu.html,可可英语,IT/互联网/通信,北京,市值：125.0万,125.000000万人民币 ,开业,有限责任公司(自然人投资或控股),2009-06-05,,0.0125
重庆星游传媒有限公司,https://top.chinaz.com/company/XingYouChuanMei.html,星游传媒,IT/互联网/通信,重庆,市值：1000.0万,1000.0万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2014-08-28,,0.1
肇庆市创威发展有限公司,https://top.chinaz.com/company/ChuangWeiFaZhan.html,创威发展,IT/互联网/通信,广东,市值：5000.0万,5000.00万人民币元 ,存续,有限责任公司(自然人投资或控股),1999-02-25,,0.5
北京众鸣世纪科技有限公司,https://top.chinaz.com/company/ZhongMingShiJi.html,众鸣世纪,IT/互联网/通信,北京,市值：5349.84万,5349.836万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2006-03-01,,0.534984
上海通用汽车有限公司,https://top.chinaz.com/company/ShangHaiTongYong.html,上海通用,汽车/交通出行,上海,市值：74.73亿,108300.000000万美元 ,存续（在营、开业、在册）,有限责任公司(中外合资),1997-05-16,,74.73
成都云数海量智能科技有限公司,https://top.chinaz.com/company/YunShuHaiLiang.html,云数海量,IT/互联网/通信,四川,市值：100.0万,100万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-06-13,,0.01
北京盛拓鸿远信息技术有限公司,https://top.chinaz.com/company/ShengTuoHongYuan.html,盛拓鸿远,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-11-08,,0.1
重庆美亚国际旅行社有限公司,https://top.chinaz.com/company/MeiYaGuoJi.html,美亚国际,旅游/酒店,重庆,市值：30.0万,30万元 ,存续,有限责任公司(自然人投资或控股),2007-11-16,,0.003
河南省贵金坊珠宝有限公司,https://top.chinaz.com/company/GuiJinFangZhuBao.html,贵金坊珠宝,其它,河南,市值：130.0万,130万元 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2009-05-04,,0.013
成都西维数码科技有限公司,https://top.chinaz.com/company/XiWeiShuMa.html,西维数码,IT/互联网/通信,四川,市值：1000.0万,1000万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2002-12-23,,0.1
广州九尾信息科技有限公司,https://top.chinaz.com/company/GuangZhouJiuWei.html,广州九尾,IT/互联网/通信,广东,市值：2000.0万,2000万 ,存续,有限责任公司(自然人投资或控股),2013-08-01,,0.2
北京华品博睿网络技术有限公司,https://top.chinaz.com/company/HuaPinBoZuo.html,华品博睿,IT/互联网/通信,北京,市值：625.0万,625万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2013-12-25,,0.0625
重庆装网科技有限公司,https://top.chinaz.com/company/ZhongQingZhuangWang.html,重庆装网,IT/互联网/通信,重庆,市值：200.0万,200万元 ,存续,有限责任公司(自然人投资或控股),2009-09-01,,0.02
北京一亩田新农网络科技有限公司,https://top.chinaz.com/company/YiMuTianXinNong.html,一亩田新农,IT/互联网/通信,北京,市值：1.0亿,10000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2011-08-01,,1.0
重庆鸿巨网络科技有限公司,https://top.chinaz.com/company/cqhongjuwangluo.html,鸿巨网络,IT/互联网/通信,重庆,市值：100.0万,100万元 ,存续,有限责任公司(自然人投资或控股),2011-01-21,,0.01
东莞市小草电子商务有限公司,https://top.chinaz.com/company/XiaoCaoDianShang.html,小草电商,零售/消费/食品,广东,市值：100.0万,100万人民币元 ,存续,有限责任公司(自然人投资或控股),2011-05-11,,0.01
广州荔支网络技术有限公司,https://top.chinaz.com/company/GuangZhouLiZhi.html,广州荔支,IT/互联网/通信,广东,市值：2884.31万,2884.3074万 ,存续,其他有限责任公司,2007-12-28,,0.288431
杭州投融界互联网金融服务有限公司,https://top.chinaz.com/company/TouRongJie.html,投融界,IT/互联网/通信,浙江,市值：1000.0万,1000.000000万 ,存续,私营有限责任公司(自然人控股或私营性质企业控股),2010-06-18,,0.1
深圳市红歌会文化咨询有限公司,https://top.chinaz.com/company/HongGeHuiWenHua.html,红歌会文化,其它,广东,市值：10.0万,(人民币)10.0000万元 ,存续,有限责任公司（自然人独资）,2016-03-29,,0.001
湖南土流信息有限公司,https://top.chinaz.com/company/TuLiuXinXi.html,土流信息,IT/互联网/通信,湖南,市值：6200.0万,6200万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2011-03-01,,0.62
北京当当网信息技术有限公司,https://top.chinaz.com/company/dangdangwang.html,当当网,IT/互联网/通信,北京,市值：37.67亿,27000万元人民币 ,开业,有限责任公司(外国法人独资),1997-07-08,中概股,37.67
联想集团有限公司,https://top.chinaz.com/company/llianxiangjituan.html,联想集团,广告/商务服务/文化传媒,北京,市值：1349.63亿,-- ,--,--,--,港股,1349.63
北京无限联合科技有限公司,https://top.chinaz.com/company/WuXianLianHe.html,无限联合,IT/互联网/通信,北京,市值：100.0万,100.00万元 ,开业,有限责任公司(自然人投资或控股),2008-07-17,,0.01
北京火山动力网络技术有限公司,https://top.chinaz.com/company/HuoShanDongLi.html,火山动力,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2003-10-26,,0.01
金东纸业（江苏）股份有限公司,https://top.chinaz.com/company/JinDongZhiYe.html,金东纸业,机械/制造/军工/贸易,江苏,市值：143.05亿,1430473.1721万人民币 ,在业,股份有限公司(中外合资、未上市),1997-05-18,,143.05
广发银行股份有限公司,https://top.chinaz.com/company/GuangFaYinXing.html,广发银行,金融,广东,市值：154.02亿,1540239.7264万人民币元 ,存续,股份有限公司(非上市、国有控股),1988-07-07,,154.02
大连豪斯网络有限公司,https://top.chinaz.com/company/DaLianHaoSi.html,大连豪斯,IT/互联网/通信,辽宁,市值：106.0万,106万 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-03-05,,0.0106
杭州联桥网络科技有限公司,https://top.chinaz.com/company/LianQiaoWang.html,联桥网,IT/互联网/通信,浙江,市值：100.0万,100.000000万元人民币 ,存续,一人有限责任公司（私营法人独资）,2006-01-13,,0.01
广州董易奇文化交流服务有限公司,https://top.chinaz.com/company/DongYiQi.html,董易奇,广告/商务服务/文化传媒,广东,市值：100.0万,100.00万元人民币 ,存续,有限责任公司(自然人投资或控股),2008-02-29,,0.01
华数传媒网络有限公司,https://top.chinaz.com/company/HuaShuChuanMeiWangLuo.html,华数传媒网络,广告/商务服务/文化传媒,浙江,市值：15.0亿,150000.000000万元人民币 ,存续,一人有限责任公司（内资法人独资）,2009-12-16,,15.0
福州九九七七八八网络技术有限公司,https://top.chinaz.com/company/JiuJiuQiQiBaBa.html,九九七七八八,IT/互联网/通信,福建,市值：100.0万,100.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2006-09-08,,0.01
金华比奇网络技术有限公司,https://top.chinaz.com/company/BiQiWangLuo.html,比奇网络,IT/互联网/通信,浙江,市值：1052.63万,1052.63万元 ,在营（开业）,有限责任公司(自然人投资或控股),2009-04-14,,0.10526300000000001
江苏扬子晚报有限公司,https://top.chinaz.com/company/JiangSuYangZiWanBao.html,江苏扬子晚报,其它,江苏,市值：5000.0万,5000.00万元人民币 ,在业,有限责任公司（法人独资）,2013-03-29,,0.5
浙江中呼科技股份有限公司,https://top.chinaz.com/company/ZhongHuKeJi.html,中呼科技,IT/互联网/通信,浙江,市值：4.42亿,2270.94万元 ,存续,股份有限公司（非上市、自然人投资或控股）,2002-05-08,新三板,4.42
杭州当贝网络科技有限公司,https://top.chinaz.com/company/DangBeiWang.html,当贝网,IT/互联网/通信,浙江,市值：110.0万,110.000000万元人民币 ,存续,私营有限责任公司(自然人控股或私营性质企业控股),2013-08-27,,0.011
北京联创鸿瑞网络技术有限公司,https://top.chinaz.com/company/LianChuangHongRui.html,联创鸿瑞,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2013-05-23,,0.01
浙江蚂蚁小微金融服务集团股份有限公司,https://top.chinaz.com/company/MaYiJinFu.html,蚂蚁金服,金融,浙江,市值：4110.0亿,1500000.000000万元人民币 ,存续,其他股份有限公司（非上市）,2000-10-19,,4110.0
北京亚汽联信息技术有限公司,https://top.chinaz.com/company/YaQiLianXinXi.html,亚汽联信息,IT/互联网/通信,北京,市值：600.0万,600万元 ,开业,有限责任公司(自然人投资或控股),2004-06-01,,0.06
天津五八到家生活服务有限公司,https://top.chinaz.com/company/TianJinWuBaDaoJia.html,天津五八到家,IT/互联网/通信,天津,市值：1.0亿,10000万人民币 ,存续,有限责任公司,2014-08-19,,1.0
万达信息股份有限公司,https://top.chinaz.com/company/WanDaXinXi.html,万达信息,IT/互联网/通信,上海,市值：114.21亿,10.31亿元 ,存续（在营、开业、在册）,股份有限公司(上市),1995-11-09,A股,114.21
安徽省志鹄信息科技有限公司,https://top.chinaz.com/company/zhiguxinxi.html,志鹄信息,IT/互联网/通信,安徽,市值：100.0万,100万元 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2014-03-26,,0.01
厦门市舜邦网络科技有限公司,https://top.chinaz.com/company/ShunBangWangLuo.html,舜邦网络,IT/互联网/通信,福建,市值：1000.0万,1000.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2010-09-15,,0.1
北京强信德鑫教育咨询有限公司,https://top.chinaz.com/company/QiangXinDeZuo.html,强信德鑫,教育,北京,市值：10.0万,10万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2013-01-22,,0.001
北京怡生乐居信息服务有限公司,https://top.chinaz.com/company/ZuoShengLeJu.html,怡生乐居,IT/互联网/通信,北京,市值：1.03亿,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2008-02-13,中概股,1.03
烟台富美特信息科技股份有限公司,https://top.chinaz.com/company/fumeite.html,富美特,IT/互联网/通信,山东,市值：80.0万,220.000000万人民币 ,在营（开业）企业,股份有限公司(非上市、自然人投资或控股),2009-03-16,新三板,0.008
中青网络科技（北京）有限公司,https://top.chinaz.com/company/ZhongQingWang.html,中青网,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2005-01-12,,0.01
天津信一科技有限公司,https://top.chinaz.com/company/tjxinyikeji.html,信一科技,IT/互联网/通信,天津,市值：1000.0万,1000万人民币 ,存续,有限责任公司,2004-07-26,,0.1
杭州常青网络科技有限公司,https://top.chinaz.com/company/HangZhouChangQing.html,杭州常青,IT/互联网/通信,浙江,市值：588.25万,588.250000万 ,存续,私营有限责任公司(自然人控股或私营性质企业控股),2010-04-19,,0.058825
江苏三六五网络股份有限公司,https://top.chinaz.com/company/SanLiuWuWang.html,三六五网,IT/互联网/通信,江苏,市值：33.58亿,1.92亿元 ,在业,股份有限公司(上市),2006-01-17,A股,33.58
北京卡车之家信息技术股份有限公司,https://top.chinaz.com/company/KaCheZhiJia.html,卡车之家,IT/互联网/通信,北京,市值：5.94亿,2201.33万元 ,存续（在营、开业、在册）,其他股份有限公司(非上市),2008-08-04,新三板,5.94
深圳市易图资讯股份有限公司,https://top.chinaz.com/company/YiTuZiXun.html,易图资讯,IT/互联网/通信,广东,市值：1.90亿,7000万元 ,在营（开业）企业,股份有限公司(非上市),1999-01-21,新三板,1.9
北京无忧创想信息技术有限公司,https://top.chinaz.com/company/WuYouChuangXiang.html,无忧创想,IT/互联网/通信,北京,市值：1250.0万,1250万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2005-08-16,,0.125
十堰亿脉科技有限公司,https://top.chinaz.com/company/ShiYanYiMai.html,十堰亿脉,IT/互联网/通信,湖北,市值：1000.0万,1000万元 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2005-07-05,,0.1
普联技术有限公司,https://top.chinaz.com/company/PuLianJiShu.html,普联技术,IT/互联网/通信,广东,市值：6.5亿,(人民币)65000.0000万元 ,存续,有限责任公司,2000-05-11,,6.5
郑州青天软件科技有限公司,https://top.chinaz.com/company/QingTianRuanJian.html,青天软件,IT/互联网/通信,河南,市值：100.0万,100万元 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2014-11-14,,0.01
北京金利环球科技有限公司,https://top.chinaz.com/company/JinLiHuanQiu.html,金利环球,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2006-03-15,,0.01
北京木仓科技有限公司,https://top.chinaz.com/company/MuCangKeJi.html,木仓科技,IT/互联网/通信,北京,市值：248.00万,247.9993万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2011-07-18,,0.0248
北京拉勾网络技术有限公司,https://top.chinaz.com/company/LaGouWangLuo.html,拉勾网络,IT/互联网/通信,北京,市值：200.0万,200万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2013-03-05,,0.02
北京风行在线技术有限公司,https://top.chinaz.com/company/FengXingZaiXian.html,风行在线,IT/互联网/通信,北京,市值：2828.70万,2828.7004万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2005-09-28,,0.28286999999999995
北京优个网信息技术有限公司,https://top.chinaz.com/company/YouGeWang.html,优个网,IT/互联网/通信,北京,市值：55.09万,55.0867万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2004-10-11,,0.005509
财新传媒有限公司,https://top.chinaz.com/company/CaiXinChuanMei.html,财新传媒,广告/商务服务/文化传媒,北京,市值：2.02亿,20188.6206万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2009-12-10,,2.02
科勒（中国）投资有限公司,https://top.chinaz.com/company/kele.html,科勒,机械/制造/军工/贸易,上海,市值：2.07亿,3000.000000万美元 ,存续（在营、开业、在册）,有限责任公司(台港澳法人独资),1998-10-23,,2.07
天涯社区网络科技股份有限公司,https://top.chinaz.com/company/TianYaSheQu.html,天涯社区,IT/互联网/通信,广东,市值：21.70亿,9600万元 ,存续（在营、开业、在册）,股份有限公司(非上市、自然人投资或控股),1999-04-27,新三板,21.7
北京艺龙信息技术有限公司,https://top.chinaz.com/company/YiLongXinXi.html,艺龙信息,IT/互联网/通信,北京,市值：1600.0万,1600万元 ,开业,有限责任公司(自然人投资或控股),2000-11-28,,0.16
东营三虎网络技术有限公司,https://top.chinaz.com/company/DongYingSanHu.html,东营三虎,IT/互联网/通信,山东,市值：103.0万,103万人民币 ,在营,有限责任公司(自然人投资或控股),2010-06-10,,0.0103
深圳市伙伴行网络科技有限公司,https://top.chinaz.com/company/HuoBanXing.html,伙伴行,建设工程/房产服务,广东,市值：100.0万,(人民币)100.0000万元 ,存续,有限责任公司（法人独资）,2011-12-07,,0.01
深圳市谷米科技有限公司,https://top.chinaz.com/company/GuMiKeJi.html,谷米科技,IT/互联网/通信,广东,市值：50.0万,(人民币)50.0000万元 ,存续,公司,2009-06-08,,0.005
欧派家居集团股份有限公司,https://top.chinaz.com/company/OuPaiJiaJu.html,欧派家居,零售/消费/食品,广东,市值：412.90亿,4.15亿元 ,存续,股份有限公司,1994-07-01,A股,412.9
深圳红酒世界网新媒体有限公司,https://top.chinaz.com/company/HongJiuShiJieWang.html,红酒世界网,广告/商务服务/文化传媒,广东,市值：5000.0万,(人民币)5000.0000万元 ,存续,有限责任公司（法人独资）,2003-06-27,,0.5
青岛韩华快讯网络传媒有限公司,https://top.chinaz.com/company/HanHuaKuaiXun.html,韩华快讯,IT/互联网/通信,山东,市值：50.0万,50万 ,在营,有限责任公司(自然人投资或控股),2013-05-23,,0.005
北京口袋时尚科技有限公司,https://top.chinaz.com/company/KouDaiShiShang.html,口袋时尚,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2011-05-12,,0.1
北京羽乐创新科技有限公司,https://top.chinaz.com/company/YuLeChuangXin.html,羽乐创新,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-01-16,,0.1
上海热线信息网络有限公司,https://top.chinaz.com/company/ReXianXinXi.html,热线信息,IT/互联网/通信,上海,市值：1500.0万,1500万人民币 ,存续（在营、开业、在册）,有限责任公司（法人独资）,1993-03-26,,0.15
厦门联图网络科技有限公司,https://top.chinaz.com/company/XiaMenLianTu.html,厦门联图,IT/互联网/通信,福建,市值：1000.0万,1000.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2012-12-19,,0.1
中大英才（北京）网络教育科技有限公司,https://top.chinaz.com/company/ZhongDaYingCai.html,中大英才,教育,北京,市值：1000.0万,1000.00万元人民币 ,开业,其他有限责任公司,2010-03-26,,0.1
广州能率教育科技有限公司,https://top.chinaz.com/company/NengLvJiaoYu.html,能率教育,教育,广东,市值：301.0万,301.00万 ,存续,有限责任公司(自然人投资或控股),2009-08-19,,0.0301
广州力众网络科技有限公司,https://top.chinaz.com/company/LiZhongWangLuo.html,力众网络,IT/互联网/通信,广东,市值：100.0万,100万 ,存续,有限责任公司(法人独资),2013-05-29,,0.01
杭州威士顿网络科技有限公司,https://top.chinaz.com/company/WeiShiDun.html,威士顿,IT/互联网/通信,浙江,市值：350.0万,350.000000万元人民币 ,存续,私营有限责任公司(自然人控股或私营性质企业控股),2003-06-12,,0.035
深圳市澳康达名车广场有限公司,https://top.chinaz.com/company/AoKangDaMingChe.html,澳康达名车,零售/消费/食品,广东,市值：100.0万,(人民币)100.0000万元 ,存续,有限责任公司,2008-12-01,,0.01
福州靠谱网络有限公司,https://top.chinaz.com/company/FuZhouKaoPu.html,福州靠谱,IT/互联网/通信,福建,市值：1052.63万,1052.631600万人民币 ,存续（在营、开业、在册）,有限责任公司,2013-08-12,,0.10526300000000001
石狮市辉腾网络科技有限公司,https://top.chinaz.com/company/HuiTengWangLuo.html,辉腾网络,IT/互联网/通信,福建,市值：100.0万,100.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2015-05-13,,0.01
高德软件有限公司,https://top.chinaz.com/company/GaoDeRuanJian.html,高德软件,IT/互联网/通信,北京,市值：78.32亿,24242.4242万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2001-09-14,--,78.32
深圳市新车评信息咨询股份有限公司,https://top.chinaz.com/company/XinChePing.html,新车评,汽车/交通出行,广东,市值：1500.0万,(人民币)1500.0000万元 ,存续,非上市股份有限公司,2006-08-07,,0.15
北京北晚新视觉传媒有限公司,https://top.chinaz.com/company/BeiWanXinShiJue.html,北晚新视觉,广告/商务服务/文化传媒,北京,市值：600.0万,600万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2013-11-26,,0.06
北京三人众信信息技术有限公司,https://top.chinaz.com/company/SanRenZhong.html,三人众,IT/互联网/通信,北京,市值：30.0万,30万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2007-08-09,,0.003
长沙众山小网络技术有限公司,https://top.chinaz.com/company/ZhongShanXiao.html,众山小,IT/互联网/通信,湖南,市值：100.0万,100万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-03-12,,0.01
北京尚标知识产权代理有限公司,https://top.chinaz.com/company/ShangBiaoZhiShi.html,尚标知识,其它,北京,市值：10.0万,10万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2012-09-10,,0.001
重庆市狸狗信息科技有限公司,https://top.chinaz.com/company/LiGouXinXi.html,狸狗信息,IT/互联网/通信,重庆,市值：10.0万,10万元 ,存续,有限责任公司(自然人投资或控股),2012-09-12,,0.001
广州唯品会信息科技有限公司,https://top.chinaz.com/company/WeiPinHui.html,唯品会,IT/互联网/通信,广东,市值：518.60亿,82450万 ,存续,有限责任公司(自然人投资或控股),2008-08-22,中概股,518.6
江西飞天网络科技有限公司,https://top.chinaz.com/company/FeiTianWangLuo.html,飞天网络,IT/互联网/通信,江西,市值：125.0万,125万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2003-11-18,,0.0125
英才网联(北京)咨询有限公司,https://top.chinaz.com/company/YingCaiWangLian.html,英才网联,IT/互联网/通信,北京,市值：100.0万,100.00万元 ,开业,有限责任公司(自然人独资),2010-02-02,,0.01
中国建设银行股份有限公司,https://top.chinaz.com/company/JianSheYinXing.html,建设银行,金融,北京,市值：20275.89亿,25001097.748600万人民币 ,开业,其他股份有限公司(上市),2004-09-17,A股,20275.89
新东方教育科技集团有限公司,https://top.chinaz.com/company/XinDongFang.html,新东方,教育,北京,市值：685.45亿,5000万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2001-08-02,中概股,685.45
广东卓博信息科技有限公司,https://top.chinaz.com/company/GuangDongZhuoBo.html,广东卓博,IT/互联网/通信,广东,市值：1550.0万,1550万人民币元 ,存续,有限责任公司(自然人投资或控股),1999-02-09,,0.155
中国人民财产保险股份有限公司,https://top.chinaz.com/company/ZhongGuoCaiXian.html,中国财险,金融,北京,市值：2802.59亿,1482851.02万元人民币 ,存续（在营、开业、在册）,股份有限公司(上市),2003-07-07,--,2802.59
深圳市有伴科技有限公司,https://top.chinaz.com/company/YouBanKeJi.html,有伴科技,IT/互联网/通信,广东,市值：222.22万,(人民币)222.2222万元 ,存续,有限责任公司,2010-06-09,,0.022222
潍柴控股集团有限公司,https://top.chinaz.com/company/WeiChaiKongGu.html,潍柴控股,汽车/交通出行,山东,市值：12.0亿,120000万人民币 ,在营,有限责任公司(非自然人投资或控股的法人独资),1989-12-11,,12.0
聚众网通（北京）科技有限公司,https://top.chinaz.com/company/JuZhongWangTong.html,聚众网通,IT/互联网/通信,北京,市值：400.0万,400万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-01-31,,0.04
北京黑岩信息技术有限公司,https://top.chinaz.com/company/HeiYanXinXi.html,黑岩信息,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2010-08-05,,0.1
北京国筝文化传媒有限公司,https://top.chinaz.com/company/GuoZuoWenHua.html,国筝文化,广告/商务服务/文化传媒,北京,市值：50.0万,50万元 ,开业,有限责任公司(自然人投资或控股),2013-07-05,,0.005
广东一一五科技股份有限公司,https://top.chinaz.com/company/YiYiWuKe.html,一一五科,IT/互联网/通信,广东,市值：1.0亿,10000万人民币元 ,存续,其他股份有限公司(非上市),2011-06-27,,1.0
北京搜狗信息服务有限公司,https://top.chinaz.com/company/SouGouXinXi.html,搜狗信息,IT/互联网/通信,北京,市值：2000.0万,2000万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2005-12-28,,0.2
北京网聚环博广告有限公司,https://top.chinaz.com/company/WangJuHuanBo.html,网聚环博,广告/商务服务/文化传媒,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2012-05-29,,0.01
徐州八方网络科技有限公司,https://top.chinaz.com/company/XuZhouBaFang.html,徐州八方,IT/互联网/通信,江苏,市值：100.0万,100万元人民币 ,在业,有限责任公司(自然人独资),2007-05-10,,0.01
北京六间房科技有限公司,https://top.chinaz.com/company/LiuJianFang.html,六间房,IT/互联网/通信,北京,市值：2000.0万,2000万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2006-03-22,,0.2
广东羊城晚报数字媒体有限公司,https://top.chinaz.com/company/YangChengWanBao.html,羊城晚报,广告/商务服务/文化传媒,广东,市值：1000.0万,1000万人民币元 ,存续,有限责任公司(国有控股),2000-10-25,,0.1
中国民航信息网络股份有限公司,https://top.chinaz.com/company/ZhongGuoMinHangXinXiWangLuo.html,中国民航信息网络,汽车/交通出行,北京,市值：315.45亿,292620.9589万元 ,开业,其他股份有限公司(上市),2000-10-18,--,315.45
北京风华创想网络有限公司,https://top.chinaz.com/company/FengHuaChuangXiang.html,风华创想,IT/互联网/通信,北京,市值：300.0万,300.00万元 ,开业,有限责任公司(自然人投资或控股),2007-08-24,,0.03
广州齐盈网络科技有限公司,https://top.chinaz.com/company/GuangZhouQiYing.html,广州齐盈,金融,广东,市值：2000.0万,2000.00万 ,存续,有限责任公司(自然人投资或控股),2008-05-03,,0.2
深圳市希捷尔人力资源有限公司,https://top.chinaz.com/company/XiJieEr.html,希捷尔,IT/互联网/通信,广东,市值：210.0万,(人民币)210.0000万元 ,存续,有限责任公司,1998-06-26,,0.021
重庆聚焦人才服务有限公司,https://top.chinaz.com/company/JuJiaoRenCai.html,聚焦人才,其它,重庆,市值：200.0万,200万元 ,存续,有限责任公司(自然人投资或控股),2005-11-07,,0.02
上海长城宽带网络服务有限公司,https://top.chinaz.com/company/ShangHaiChangChengKuanDai.html,上海长城宽带,IT/互联网/通信,上海,市值：5000.0万,5000万人民币 ,存续（在营、开业、在册）,有限责任公司,2001-12-18,,0.5
深圳市八方通科技开发有限公司,https://top.chinaz.com/company/BaFangTong.html,八方通,IT/互联网/通信,广东,市值：100.0万,(人民币)100.0000万元 ,存续,有限责任公司,2005-03-08,,0.01
桂林市三新网络传媒有限责任公司,https://top.chinaz.com/company/SanXinWangLuo.html,三新网络,广告/商务服务/文化传媒,广西,市值：200.0万,200万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2003-07-18,,0.02
淮安民福康科技股份有限公司,https://top.chinaz.com/company/MinFuKang.html,民福康,IT/互联网/通信,江苏,市值：875.0万,2500万元 ,在业,股份有限公司(非上市),2010-11-19,新三板,0.0875
佛山市丰智胜教育咨询服务有限公司,https://top.chinaz.com/company/FengZhiShengJiaoYu.html,丰智胜教育,教育,广东,市值：100.0万,100.00万人民币元 ,存续,有限责任公司(自然人投资或控股),2011-06-14,,0.01
北京决策信诚科技有限公司,https://top.chinaz.com/company/JueCeXinCheng.html,决策信诚,IT/互联网/通信,北京,市值：640.59万,640.5896万元人民币 ,注销,内资分公司,2008-03-11,,0.064059
