序号,Shape *,名称,方位,最近地铁站,直线距离,通行距离,步行时间（分钟）,骑行时间（分钟）,驾车（分钟）
78,点,铁道部第一住宅区,东78,军事博物馆地铁站,292.49582,552.301345,9.205022417,1.841004483,1.3432789
79,点,永定路东街5号院,东79,五棵松地铁站,564.986339,727.358876,12.12264793,2.424529587,1.872719273
80,点,复兴路40号社区,西80,玉泉路地铁站,217.93716,242.317245,4.03862075,0.80772415,0.466414669
81,点,复兴路40号社区,西81,玉泉路地铁站,186.221356,202.058317,3.367638617,0.673527723,0.369369306
82,点,永定路东街5号院,东82,五棵松地铁站,548.662871,675.552149,11.25920248,2.251840497,1.665484012
83,点,永定路东街5号院,北83,五棵松地铁站,639.040924,766.138347,12.76897245,2.55379449,1.906471602
84,点,北京六建家属院,西84,五棵松地铁站,348.015679,319.04128,5.317354667,1.063470933,0.638107286
85,点,永定路西里,东85,五棵松地铁站,759.175433,857.76597,14.2960995,2.8592199,1.527872388
86,点,永定路西里,北86,玉泉路地铁站,770.59134,1426.82477,23.78041283,4.756082567,2.120412796
87,点,铁道部第一住宅区,北87,军事博物馆地铁站,130.412044,182.069221,3.034487017,0.606897403,0.633218334
88,点,复兴路40号社区,北88,玉泉路地铁站,155.000161,324.752091,5.41253485,1.08250697,0.51429319
89,点,百朗园,北89,五棵松地铁站,767.006632,800.914602,13.3485767,2.66971534,1.4899701
90,点,有色院小区,东90,军事博物馆地铁站,92.753379,148.996598,2.483276633,0.496655327,0.488630114
91,点,复兴路40号社区,西91,玉泉路地铁站,95.621354,111.66864,1.861144,0.3722288,0.19301707
92,点,嘉德公寓,西92,玉泉路地铁站,555.05047,572.678661,9.54464435,1.90892887,1.104743952
93,点,复兴路36号院,东93,五棵松地铁站,526.175519,547.787551,9.129792517,1.825958503,1.154405789
94,点,嘉德公寓,东94,玉泉路地铁站,680.462088,699.109984,11.65183307,2.330366613,1.357616757
95,点,有色院小区,西95,军事博物馆地铁站,99.996496,99.979633,1.666327217,0.333265443,0.199965667
96,点,复兴路36号院,北96,五棵松地铁站,576.301528,578.097727,9.634962117,1.926992423,1.156240437
97,点,复兴路36号院,西97,五棵松地铁站,628.615714,630.419986,10.50699977,2.101399953,1.260889058
98,点,四街坊,南98,玉泉路地铁站,779.402899,812.707539,13.54512565,2.70902513,1.566847331
99,点,西翠路12号院,南99,五棵松地铁站,775.179185,775.005022,12.91675037,2.583350073,1.271907281
100,点,复兴路81号院,南100,五棵松地铁站,446.43225,598.800675,9.98001125,1.99600225,1.134596987
101,点,复兴路甲-49号院,南101,万寿路,410.998116,442.879025,7.381317083,1.476263417,0.830547361
102,点,复兴路81号院,东102,五棵松地铁站,388.564535,539.668334,8.994472233,1.798894447,1.016327837
103,点,翠微路17号院,南103,万寿路,525.968706,558.010422,9.3001737,1.86003474,1.060818058
104,点,复兴路乙-59号院,东104,万寿路地铁站,18.025002,13.561968,0.2260328,0.04520656,0.027125062
105,点,中国水科院南小区,南105,木樨地地铁站,265.729583,265.20224,4.420037333,0.884007467,0.509402239
106,点,中国水科院南小区,南106,木樨地地铁站,413.87878,433.654068,7.2275678,1.44551356,0.924630087
107,点,中国水科院南小区,西107,军事博物馆地铁站,337.469643,456.23629,7.603938167,1.520787633,0.864477022
108,点,复兴路61号院,南108,万寿路地铁站,122.773944,119.670785,1.994513083,0.398902617,0.207266261
109,点,翠微路17号院,东109,万寿路,611.094643,722.853901,12.04756502,2.409513003,1.291261754
110,点,西翠路12号院,北110,五棵松地铁站,743.253647,823.961042,13.73268403,2.746536807,1.262615374
111,点,西翠路12号院,北111,五棵松地铁站,780.766186,826.015229,13.76692048,2.753384097,1.264669353
112,点,翠微路3号院,东112,万寿路,615.322316,743.137644,12.3856274,2.47712548,1.304784619
113,点,万寿路甲-6号院,东113,万寿路地铁站,99.739226,142.344623,2.372410383,0.474482077,0.139208941
114,点,四街坊,西114,玉泉路地铁站,564.673297,675.570253,11.25950422,2.251900843,1.339558271
115,点,翠微路22号院,西115,公主坟地铁站,524.819448,700.31511,11.6719185,2.3343837,0.905950274
116,点,万寿路18号院,东116,万寿路地铁站,220.235983,297.675204,4.9612534,0.99225068,0.38962277
117,点,中国水科院南小区,东117,木樨地地铁站,290.521801,395.64178,6.594029667,1.318805933,1.097110362
118,点,翠微路2号院,东118,万寿路,509.669085,819.898299,13.66497165,2.73299433,1.378863545
119,点,万寿路西街16号院,西119,五棵松地铁站,765.845402,906.688364,15.11147273,3.022294547,1.345345546
120,点,万寿路西街16号院,西120,五棵松地铁站,774.813392,950.847061,15.84745102,3.169490203,1.389506105
121,点,翠微路20号院,西121,公主坟地铁站,608.17082,867.623972,14.46039953,2.892079907,0.974190591
122,点,万寿路西街16号院,东122,万寿路地铁站,830.991641,1068.536172,17.8089362,3.56178724,1.626265071
123,点,复兴路61号院,北123,万寿路地铁站,299.392622,599.80039,9.996673167,1.999334633,1.204432289
124,点,翠微路2号院,东124,万寿路,546.016021,757.638883,12.62731472,2.525462943,1.254340456
125,点,二街坊,南125,玉泉路地铁站,691.567172,1510.423367,25.17372278,5.034744557,2.662081379
126,点,永定路56号院,南126,五棵松地铁站,631.468121,939.016018,15.65026697,3.130053393,1.885911807
127,点,永定路56号院,南127,五棵松地铁站,751.559018,1076.255414,17.93759023,3.587518047,1.728629714
128,点,万寿园小区,东128,万寿路地铁站,792.996478,1030.733231,17.17888718,3.435777437,1.911960214
129,点,万寿园小区,南129,五棵松地铁站,834.93929,1047.628902,17.4604817,3.49209634,1.592116412
130,点,科技部社区,西130,公主坟地铁站,240.283717,296.033147,4.933885783,0.986777157,0.387763122
131,点,万寿路西街-9号院,南131,万寿路地铁站,473.348586,834.664232,13.91107053,2.782214107,2.143921227
132,点,万寿路西街11号院,西132,万寿路地铁站,566.95957,802.602242,13.37670403,2.675340807,1.838764612
133,点,万寿路小区,西133,万寿路地铁站,291.322355,352.997124,5.8832854,1.17665708,0.323864761
134,点,万寿路西街-9号院,南134,万寿路地铁站,355.88435,660.765716,11.01276193,2.202552387,1.448302184
135,点,万寿路西街小区,东135,万寿路地铁站,286.637648,407.004164,6.783402733,1.356680547,0.594146725
136,点,万寿路西街小区,南136,万寿路地铁站,346.753828,639.483367,10.65805612,2.131611223,1.363169702
137,点,万寿路西街小区,南137,万寿路地铁站,313.025896,485.42339,8.090389833,1.618077967,0.907834922
138,点,翠微路2号院,东138,公主坟地铁站,658.852825,945.843706,15.76406177,3.152812353,1.031395686
139,点,永定路52号院,南139,五棵松地铁站,545.585895,858.328447,14.30547412,2.861094823,1.784773485
140,点,科技部社区,东140,公主坟地铁站,304.772747,823.748548,13.72914247,2.745828493,1.492887738
141,点,科技部社区,南141,公主坟地铁站,247.915492,299.50302,4.991717,0.9983434,0.444361556
142,点,翠微路十六号宿舍区,南142,公主坟地铁站,555.147983,864.986396,14.41643993,2.883287987,1.353364133
143,点,彩电宿舍小区,南143,军事博物馆地铁站,312.790956,619.51596,10.325266,2.0650532,1.239071942
144,点,万寿园小区,东144,万寿路地铁站,822.043707,1053.364623,17.55607705,3.51121541,2.002489308
145,点,彩电宿舍小区,西145,军事博物馆地铁站,406.518281,587.116655,9.785277583,1.957055517,1.174271591
146,点,科技部社区,东146,公主坟地铁站,286.843611,704.536175,11.74226958,2.348453917,1.254454789
147,点,万寿路小区,西147,万寿路地铁站,341.502301,404.769585,6.74615975,1.34923195,0.427413392
148,点,中国水科院南小区,北148,玉渊潭东门地铁站,404.8403,584.448346,9.740805767,1.948161153,1.010196898
149,点,翠微小区,东149,公主坟地铁站,683.826125,1012.678238,16.87797063,3.375594127,1.073480598
150,点,彩电宿舍小区,北150,军事博物馆地铁站,368.613192,617.65526,10.29425433,2.058850867,1.235350313
151,点,万寿路小区,西151,万寿路地铁站,369.270995,433.225932,7.2204322,1.44408644,0.484328157
152,点,晾果厂小区,南152,军事博物馆地铁站,407.315006,818.217067,13.63695112,2.727390223,1.636485635
153,点,彩电宿舍小区,北153,军事博物馆地铁站,415.563976,719.151436,11.98585727,2.397171453,1.43834995
154,点,翠微路十六号宿舍区,西154,公主坟地铁站,656.740691,1013.014152,16.8835692,3.37671384,1.071120622
